feature_type,feature_id,distance,matched_gt_id,iou
line,1_4_wm5xyn1d3yy31k_29614,0.4485232646454458,9583661704112660218,
line,1_4_wm5xyn13xzjg81_29614,0.44210259302200194,9583661828666711802,
line,1_4_wm5xyhb69pg8z7_29125,0.6126453296126931,9583663830121471738,
line,1_4_wm5xyh83ffex7w_29307,0.7463161223037308,9583663830121471738,
line,1_4_wm5xyjcr4w5z6t_29602,0.058226699001443706,9583663787171798778,
line,1_4_wm5xyn4pj9x7ec_29942,0.13583009573620156,9583662653300432634,
line,1_4_wm5xyjcmb1jkce_29537,0.27481477925318937,9583663782876831482,
line,1_4_wm5xyn1g7xr9s3_29880,0.0143964169569006,9583662614645726970,
line,1_4_wm5xyn4ph88hmj_29951,0.06328750288160444,9583662644710498042,
line,1_4_wm5xyh87zrd6sy_29257,0.8381820381544282,9583662301113114362,
line,1_4_wm5xyp7cen6z04_28674,0.7315863576210283,9583662232393637626,
line,1_4_wm5xyngtyvp5yb_29145,1.3209681619492337,9583662258163441402,
line,1_4_wm5xyngd43d2t7_29283,1.1162769468669758,9583662258163441402,
line,1_4_wm5xyj8wwpmz8u_29351,0.2334864165609812,9583661059867565818,
line,1_4_wm5xypeb4p4w98_28460,0.5895247037873746,9583662249573506810,
line,1_4_wm5xypgm79yksg_27857,0.9284471762129112,9583661983285534458,
line,1_4_wm5xypetd5xums_28200,0.9717744346974007,9583661974695599866,
line,1_4_wm5xyn1yttk0df_29916,0.47777359576317974,9583663194466311930,
line,1_4_wm5xyn19c7hm6v_29758,0.6505102139067548,9583661820076777210,
line,1_4_wm5xyn6t2m5jxb_29786,0.5524811424070092,9583661918861025018,
line,1_4_wm5xyjcq37pcq8_29577,0.0842641317125819,9583663782876831482,
line,1_4_wm5xyn12tbh93g_29687,0.044275320417758106,9583661824371744506,
line,1_4_wm5xyn12qssjq8_29702,0.23846786156485364,9583661815781809914,
line,1_4_wm5xyjcr530p9p_29620,0.202975650578563,9583663782876831482,
line,1_4_wm5xyn6012k0v9_29931,0.4731479908815293,9583663194466311930,
line,1_4_wm5xyn1ezhc2d3_29864,0.07239283746578595,9583663177286442746,
line,1_4_wm5xypex060c3y_28135,1.3504146066277667,9583661987580501754,
line,1_4_wm5xyn60eq0u32_29930,0.46369888358033884,9583663194466311930,
line,1_4_wm5xypgq41nefk_27804,1.385418244639357,9583661996170436346,
line,1_4_wm5xypg7ubfz4v_27949,0.9279569487620393,9583661983285534458,
line,1_4_wm5xypgr956muy_27694,1.2516100034895106,9583661996170436346,
line,1_4_wm5xyn1zrdbvvd_29926,0.44360398263860806,9583663194466311930,
line,1_4_wm5xyn4n6eyz76_29945,0.06525326599670278,9583662644710498042,
line,1_4_wm5xyjcru1sy8b_29641,0.005266349767550454,9583663787171798778,
line,1_4_wm5xyj2m14pu8x_29272,0.33006361332830453,9583661046982663930,
line,1_4_wm5xyn1vncqc01_29925,0.2358737365268624,9583662644710498042,
line,1_4_wm5xyn4px4xyft_29935,0.25187069255250083,9583662653300432634,
line,1_4_wm5xyndbte212y_29675,0.4335176964249068,9583663963265457914,
line,1_4_wm5xyn6y2vsvzy_29757,0.1248546478813665,9583662842278993658,
line,1_4_wm5xyn6z4dsp9h_29735,0.18981012839848146,9583663967560425210,
line,1_4_wm5xyhbqh2ku3k_29135,1.2017842622012804,9583662288228212474,
line,1_4_wm5xyn1uzvg1cu_29902,0.2027184874817437,9583662653300432634,
line,1_4_wm5xyn4n5rzf10_29932,0.16676529288750397,9583662653300432634,
line,1_4_wm5xypg8sh61j2_28064,0.5911355703064892,9583662253868474106,
line,1_4_wm5xynehqvtbr4_29518,0.6573980447821698,9583663967560425210,
line,1_4_wm5xypgt2d9ft6_27867,1.151782131525269,9583662253868474106,
line,1_4_wm5xypg2xypnwe_28088,0.9293502806082826,9583661970400632570,
line,1_4_wm5xypgmkdc9qu_27875,0.6536404720925478,9583661970400632570,
line,1_4_wm5xypgks33rg6_27899,0.8242563934991232,9583661983285534458,
line,1_4_wm5xypgq54du1s_27818,1.0826716484242322,9583661983285534458,
line,1_4_wm5xypgr9vr6c5_27708,0.8379538967350199,9583661983285534458,
line,1_4_wm5xypgq5gp8tg_27835,0.631297673165048,9583661970400632570,
line,1_4_wm5xyp7xms4y2z_28441,1.2122688898115015,9583661987580501754,
line,1_4_wm5xypgqfe070e_27766,1.143821243048633,9583661983285534458,
line,1_4_wm5xypes53u3k0_28264,0.9873798096789835,9583661974695599866,
line,1_4_wm5xype8utwt8h_28377,1.329128903141607,9583661987580501754,
line,1_4_wm5xypesccvbv2_28222,1.4364965742569058,9583661987580501754,
line,1_4_wm5xypet966b6h_28188,1.5615279928280668,9583661987580501754,
line,1_4_wm5xypex1j7hgm_28138,0.9643731511020551,9583661974695599866,
line,1_4_wm5xypexbw3byc_28111,0.902416064999143,9583661974695599866,
line,1_4_wm5xypew3dxe7v_28170,0.8767207216739589,9583661974695599866,
line,1_4_wm5xyp7xqmjguw_28451,0.8321401793259521,9583661974695599866,
line,1_4_wm5xype8nj0cwp_28424,0.8889200259447797,9583661974695599866,
line,1_4_wm5xype8vtfj3r_28393,1.0459534177953147,9583661974695599866,
line,1_4_wm5xyp5wz8c3sg_28773,0.7205068306434,9583661974695599866,
line,1_4_wm5xyp79puh9e5_28687,0.8169420623467823,9583661974695599866,
line,1_4_wm5xyp7dxy5qft_28625,0.9960562208396864,9583661974695599866,
line,1_4_wm5xyp79zvhcyr_28652,0.8607565416297543,9583661974695599866,
line,1_4_wm5xyn6w4790he_29756,0.4326138424086698,9583661936040894202,
line,1_4_wm5xyp7erxpwz0_28593,1.0452593832423223,9583661974695599866,
line,1_4_wm5xyp7sr84gfc_28563,0.9943891267599829,9583661974695599866,
line,1_4_wm5xyn6tgu6nkr_29781,0.2391088648671007,9583661884501286650,
line,1_4_wm5xyn6wtdqpf2_29752,0.22037881332533638,9583661884501286650,
line,1_4_wm5xyn1yw3w4dz_29931,0.09030069743502012,9583663177286442746,
line,1_4_wm5xyn4pfhk1yh_29952,0.020606010469932618,9583663177286442746,
line,1_4_wm5xyn6khdmtm1_29850,0.3528655579189251,9583661918861025018,
line,1_4_wm5xyn4p0rgte2_29939,0.026673296194456898,9583663177286442746,
line,1_4_wm5xyn6s80ddh0_29841,0.2326627159704681,9583661884501286650,
line,1_4_wm5xyn6kwx8xgc_29816,0.41672843704931334,9583661918861025018,
